"Source","Target","Weight"
"computational thinking","josephus problem",1
"computational thinking","lego education",1
"computational thinking","lesson study",1
"computational thinking","linear functions",1
"computational thinking","mathematical competencies",1
"computational thinking","mathematical modeling",1
"computational thinking","mathematical modelling",1
"computational thinking","mathematical problem solving",1
"computational thinking","mathematical problem-solving",1
"computational thinking","mathematical thinking",1
"computational thinking","mathematics",1
"computational thinking","middle school",1
"computational thinking","moonbase activity",1
"computational thinking","problem solving",1
"computational thinking","problem-solving",1
"computational thinking","proportional reasoning",1
"computational thinking","python",1
"computational thinking","spatial reasoning",1
"computational thinking","spreadsheet",1
"computational thinking","statistics",1
"computational thinking","student teachers",1
"computational thinking","task design",1
"computational thinking","teaching practice",1
"computational thinking","turtle geometry",1
"computational thinking","wedo 2.0 core set",1
"computational triangulation experimental mathematics using digital tools","critical thinking",1
"computational triangulation experimental mathematics using digital tools","mathematics teachers’ digital competences",1
"computer assisted instruction","mathematical logic",1
"computer assisted instruction","undergraduate education",1
"computer programming","mathematics",1
"computer programming","primary school",1
"computer science","lambda calculus",1
"computer science","reification",1
"computer science","type theory",1
"computer science education","polya",1
"computer science education","problem-solving",1
"computer science education","secondary education",1
"computer-aided assessment","example-generation tasks",1
"computer-aided assessment","graphical assessment",1
"computer-aided assessment","mathematics education",1
"computer-environment","objectification",1
"computer-environment","probability",1
"computer-supported collaborative learning","digital tools",1
"computer-supported collaborative learning","mathematical communication",1
"computer-supported collaborative learning","mathematical digital competency",1
"computer-supported collaborative learning","university mathematics education",1
"concept definition","concept image",1
"concept definition","conceptual breaks",1
"concept definition","sine",1
"concept definition","trigonometry",1
"concept formation","differential equations",1
"concept formation","functions",1
"concept image","conceptual breaks",1
"concept image","conceptual knowledge",1
"concept image","derivative",1
"concept image","sine",1
"concept image","trigonometry",1
"concept introduction","teaching culture",1
"concept introduction","tensions",1
"concept introduction","university mathematics teaching",1
"concept of mass","elementary school",1
"concept of mass","teachers’ professional development",1
"conceptions","conversion of units of measurement",1
"conceptions","geo-spatial data",1
"conceptions","geometric shapes",1
"conceptions","in-service teachers",1
"conceptions","prototypes",1
"conceptions","representations",1
"conceptions","units of length and mass",1
"concepts","creating together",1
"concepts","early mathematics education",1
"concepts","sad affects",1
"concepts","teacher education",1
"conceptual blending","emerging embodied technology",1
"conceptual blending","functions",1
"conceptual blending","geogebra plus",1
"conceptual blending","secondary education",1
"conceptual breaks","sine",1
"conceptual breaks","trigonometry",1
"conceptual change","fraction division",1
"conceptual change","fraction multiplication",1
"conceptual change","teacher education",1
"conceptual fields","integrated topics",1
"conceptual focus","conversions",1
"conceptual focus","representations",1
"conceptual knowledge","derivative",1
"conceptual knowledge","mathematics teachers",1
"conceptual knowledge","mathematics teacher’s specialised knowledge",1
"conceptual knowledge","ratio",1
"conceptual understanding","counting problems",1
"conceptual understanding","design research",1
"conceptual understanding","differential equations",1
"conceptual understanding","digital tools",1
"conceptual understanding","discourse practices",1
"conceptual understanding","discursive",1
"conceptual understanding","equity",1
"conceptual understanding","evaluation",1
"conceptual understanding","fraction division",1
"conceptual understanding","general solution",1
"conceptual understanding","going beyond counting",1
"conceptual understanding","language means",1
"conceptual understanding","low-achieving students in mathematics",1
"conceptual understanding","mental models",1
"conceptual understanding","partitive division",1
"conceptual understanding","professional development program",1
"conceptual understanding","professional growth",1
"conceptual understanding","quotative division",1
"conceptual understanding","reasoning",1
"conceptual understanding","relating registers",1
"conceptual understanding","scalar product",1
"conceptual understanding","stem majors",1
"conceptual understanding","tertiary students",1
"conceptual understanding","textbooks analysis",1
"conceptual understanding","word problems",1
"conceptualization","percentage",1
"conceptualization","relative value",1
"concretion","craft",1
"concretion","experience",1
"concretion","making",1
"conditional statement","dge",1
"conditional statement","paper folding",1
"conditional statement","proof",1
"conditional statement","synergy",1
"confirmatory factor analysis","empirical study",1
"confirmatory factor analysis","place value understanding",1
"confirmatory factor analysis","representations of numbers",1
"conjecturing process","generic example",1
"conjecturing process","mathematical reasoning",1
"conjecturing process","school mathematics",1
"construction","diagram",1
"construction","drawing",1
"construction","dynamic geometry software",1
"construction","figure",1
"consumerism","dilemmas",1
"consumerism","preservice teachers",1
"consumerism","textile dilemmas",1
"content-visual proving","instruction support",1
"content-visual proving","primary education",1
"content-visual proving","reasoning",1
"context","individuality",1
"context","professional development",1
"context","situatedness",1
"context","teacher education",1
"continuity","didactic transposition",1
"continuity","path-connectedness",1
"continuity","real analysis",1
"continuity","structuralist praxeologies",1
"continuity","topology",1
"continuous fractions","density of q in r",1
"continuous fractions","spontaneous conceptions",1
"continuous fractions","warrant",1
"continuous quantity","curriculum",1
"continuous quantity","design research",1
"continuous quantity","length measurement",1
"continuous quantity","number",1
"conversion of units of measurement","representations",1
"conversion of units of measurement","units of length and mass",1
"conversions","representations",1
"cooperative teaching","high-quality teaching",1
"cooperative teaching","systematic literature review",1
"coordinate geometry","correlation and regression",1
"coordinate geometry","equation of a line",1
"coordinate geometry","experimental teaching",1
"coordinate geometry","slope of a line",1
"correlation and regression","equation of a line",1
"correlation and regression","experimental teaching",1
"correlation and regression","slope of a line",1
"correspondence and covariation approaches","mathematics teachers",1
"correspondence and covariation approaches","quadratic functions",1
"cost","expectancies for success",1
"cost","problem posing",1
"cost","task values",1
"cost","task-based motivation",1
"counting","discrete mathematics",1
"counting","generalization",1
"counting","microgenetic",1
"counting","subitising",1
"counting","variability",1
"counting problems","word problems",1
"covariation","didactic engineering",1
"covariation","function graphs",1
"covariation","inclusion",1
"covariation","mathematical modelling",1
"covariation","multimodality",1
"covariation","study and research paths",1
"covariation","visual impairments",1
"covariational positioning","covariational reasoning",1
"covariational positioning","taxicab trigonometry",1
"covariational positioning","theoretical covariation",1
"covariational positioning","theoretical representation",1
"covariational reasoning","digital tool",1
"covariational reasoning","educational technology",1
"covariational reasoning","eye tracking",1
"covariational reasoning","functional thinking",1
"covariational reasoning","multimodality",1
"covariational reasoning","music",1
"covariational reasoning","periodic functions",1
"covariational reasoning","slope",1
"covariational reasoning","taxicab trigonometry",1
"covariational reasoning","theoretical covariation",1
"covariational reasoning","theoretical representation",1
"covariational thinking","digital-embodied tasks",1
"covariational thinking","mathematics education",1
"covariational thinking","nomogram",1
"covid-19 pandemic","mathematics achievement",1
"covid-19 pandemic","pre-course mathematics",1
"covid-19 pandemic","secondary school mathematics",1
"craft","experience",1
"craft","making",1
"craft knowledge","mathematics education",1
"craft knowledge","mathematics teaching",1
"craft knowledge","programming",1
"craft knowledge","structuring features of classroom practice",1
"creating together","early mathematics education",1
"creating together","sad affects",1
"creating together","teacher education",1
"creativity","didactic ends",1
"creativity","didactic means",1
"creativity","didactic paradigm",1
"creativity","epistemological model",1
"criterion-referenced approach","ditom",1
"criterion-referenced approach","mathematical key skills",1
"criterion-referenced approach","screening",1
"critical attribute","inclusion relationships",1
"critical attribute","mathematical events",1
"critical attribute","prototype",1
"critical mathematics education","figured worlds",1
"critical mathematics education","positionality",1
"critical mathematics education","pre-service teachers",1
"critical research","kindergarten class",1
"critical research","mathematical awareness",1
"critical thinking","learning processes",1
"critical thinking","mathematics teachers’ digital competences",1
"critical thinking","reflection",1
"critical thinking","teacher education",1
"croatian","language",1
"croatian","multilingualism",1
"croatian","primary education",1
"cross cultural studies","cultural differences",1
"cross cultural studies","multicultural classrooms",1
"cross cultural studies","task design",1
"crystallization","doping",1
"crystallization","embodiment",1
"crystallization","radical embodiment",1
"crystallography","kindergarten",1
"crystallography","pedagogy",1
"crystallography","symmetry-breaking",1
"ct","secondary mathematics education",1
"cultural awareness","lesson study",1
"cultural awareness","socio-cultural practices",1
"cultural awareness","translation",1
"cultural capital","hybrid research design",1
"cultural capital","mathematical memes",1
"cultural differences","multicultural classrooms",1
"cultural differences","task design",1
"cultural historical activity theory","mathematics",1
"cultural historical activity theory","mathematics education",1
"cultural historical activity theory","programming",1
"culturally relevant education","immigrants",1
"culturally relevant education","indigenous knowledge",1
"culturally relevant education","student diversity",1
"culture","diversity of theories",1
"culture","language",1
"culture","research knowledge",1
"culture","transposition",1
"curricula","middle school",1
"curricula","primary education",1
"curricula","professional education",1
"curricular development","geometry",1
"curricular development","mathematics education",1
"curricular development","textbook content",1
"curricular noticing","preservice primary school teachers",1
"curricular noticing","textbook",1
"curricular noticing","three-dimensional geometry",1
"curriculum","design research",1
"curriculum","length measurement",1
"curriculum","non-mathematics degrees",1
"curriculum","number",1
"curriculum","transition",1
"curriculum analyses","didactic transposition",1
"curriculum analyses","interdisciplinarity",1
"curriculum analyses","modelling",1
"curriculum analyses","technology",1
"curriculum change","generalization",1
"curriculum change","paths of reasoning",1
"curriculum change","patterns",1
"curriculum change","textbook analysis",1
"curriculum design","inquiry",1
"curriculum design","least squares",1
"curriculum design","linear algebra",1
"curriculum implementation","primary school mathematics",1
"curriculum implementation","programming",1
"curriculum mapping","intelligent environment",1
"curriculum mapping","learning goals",1
"curriculum mapping","secondary mathematics education",1
"curriculum mapping","teacher autonomy",1
"curriculum mapping","visual representation",1
"curriculum research","educational history",1
"curriculum research","mathematics education",1
"curriculum resources","implementation",1
"curriculum resources","instructional change",1
"curriculum resources","laboratory of mathematics",1
"curriculum resources","role of mathematics textbooks",1
"curriculum resources","statistics",1
"curvature","intrinsic geometry",1
"curvature","programming",1
"data","secondary school",1
"data","sustainability",1
"data analysis","fleiss' kappa",1
"data analysis","mathematical activity",1
"data analysis","problem",1
"data analysis","reliability",1
"data literacy","data use",1
"data literacy","information",1
"data literacy","modelling",1
"data literacy","models",1
"data representation","mathematical modelling",1
"data representation","superfluous data",1
"data science","machine learning",1
"data science","model building",1
"data science","model usability",1
"data science education","preservice teacher education",1
"data science education","steam education",1
"data use","information",1
"data use","modelling",1
"data use","models",1
"data-driven categories","mathematics teachers",1
"data-driven categories","prison education",1
"data-driven categories","swot analysis",1
"data-driven categories","theory-driven categories",1
"de-ritualization","mathematical induction",1
"de-ritualization","teaching and learning activities",1
"de-ritualization process","saming between realizations",1
"debate","discussion",1
"debate","mediation",1
"debugging","design-based research",1
"debugging","dynamic manipulation",1
"decision level","preservice teachers",1
"decision level","semantic structure",1
"decision-making","decision level",1
"decision-making","preservice teachers",1
"decision-making","semantic structure",1
"deductive geometry","demonstrations",1
"deductive geometry","intuitive geometry",1
"deductive geometry","secondary education",1
"deductive geometry","two-column proofs",1
"deductive proof scheme","dnr-based instruction in mathematics (dnr)",1
"deductive proof scheme","individual teaching experiments",1
"deductive proof scheme","learning through activity (lta)",1
"deductive thinking","digital tools",1
"deductive thinking","geometric proofs",1
"deductive thinking","proof types",1
"deductive thinking","toulmin scheme",1
"definite integral","modelling",1
"definite integral","teaching and learning",1
"delphi method","genai and large language models",1
"delphi method","university mathematics",1
"demonstrations","intuitive geometry",1
"demonstrations","secondary education",1
"demonstrations","two-column proofs",1
"density of q in r","spontaneous conceptions",1
"density of q in r","warrant",1
"density property","prospective mathematics teachers",1
"density property","real numbers",1
"density property","specialised knowledge",1
"derivation strategies","interactive video",1
"derivation strategies","multiplication",1
"derivation strategies","primary school children",1
"derivative","discourse",1
"derivative","dynamic visualisations",1
"derivative","extra-mathematical contexts",1
"derivative","rate of change",1
"derivative","static visualisations",1
"derivative","symbolism",1
"derivative","understanding",1
"describing sets","early mathematics education",1
"describing sets","perceiving structures",1
"describing sets","preschool education",1
"design","manipulatives",1
"design","moral imagination",1
"design","number concepts",1
"design","teacher education",1
"design aspects","digital learning environment",1
"design aspects","discovery learning",1
"design aspects","geometry learning",1
"design of digital artefacts","mathematics tpd",1
"design proposition","design requirements",1
"design proposition","educational design research",1
"design proposition","prison education",1
"design requirements","educational design research",1
"design requirements","prison education",1
"design research","discursive",1
"design research","disinformation",1
"design research","educational robots",1
"design research","evaluative thinking",1
"design research","fraction division",1
"design research","geometry",1
"design research","instructional videos",1
"design research","interactive features",1
"design research","length measurement",1
"design research","mathematics",1
"design research","number",1
"design research","primary school",1
"design research","program implementation",1
"design research","programming",1
"design research","proportional reasoning",1
"design research","relating registers",1
"design research","semiotic bundle",1
"design research","social media",1
"design research","statistical literacy",1
"design research","teacher education",1
"design research","two-phase instructional designs",1
"design research","variables as generalizers",1
"design-based research","dynamic manipulation",1
"design-based research","elementary mathematics education",1
"design-based research","fractions",1
"design-based research","meaning-related vocabulary",1
"design-based research","translanguaging pedagogy",1
"designated identity","narrative",1
"designated identity","pre-service teachers",1
"designated identity","teacher education program",1
"deterministic model","discrete mathematics education",1
"deterministic model","problem-solving",1
"deterministic model","proving process",1
"development at scale","in-service teacher training",1
"development at scale","mathematical competencies",1
"development at scale","stumbling stones",1
"development of mathematical language","mathematical concepts",1
"development of mathematical language","plane geometry",1
"development of mathematical language","subject-matter didactics",1
"dge","paper folding",1
"dge","proof",1
"dge","synergy",1
"diagnosis","financial literacy",1
"diagnosis","percentage calculation",1
"diagnosis","vocational high schools",1
"diagnostic competence","information processing",1
"diagnostic competence","instructional competence",1
"diagnostic competence","judgements",1
"diagnostic competence","modelling instruction",1
"diagnostic competence","open modelling problems",1
"diagnostic competence","openness",1
"diagnostic competence","scaffolding practices",1
"diagnostic competence","teacher education",1
"diagnostic competence","teacher training",1
"diagnostic judgment","early arithmetic education",1
"diagnostic judgment","teacher education",1
"diagnostic judgment","vignettes",1
"diagram","drawing",1
"diagram","dynamic geometry software",1
"diagram","figure",1
"diagrams","material",1
"diagrams","mathematics education",1
"diagrams","quadratic",1
"diagrams","research methods",1
"dialectic contradictions","introductory algebra",1
"dialectic contradictions","space of joint action",1
"dialectic contradictions","togethering",1
"dialectics","statistics",1
"dialectics","study and research path",1
"dialectics and systems and models","mathematical modelling",1
"dialectics and systems and models","study and research paths",1
"dialogic teaching","mathematics education",1
"dialogic teaching","professional development",1
"dialogic teaching","task design",1
"dialogical moves","inquiry stem teaching",1
"dialogical moves","mathematics teachers’ meanings",1
"dialogism","ethics",1
"dialogism","history of mathematics",1
"dialogism","otherness",1
"dialogism","social and political dimension of mathematics education",1
"dialogism","teachers’ practices",1
"didactic analysis","didactic paradigm",1
"didactic analysis","epistemological model",1
"didactic analysis","modality of study",1
"didactic analysis","real numbers",1
"didactic contract","expectations",1
"didactic contract","secondary-tertiary transition",1
"didactic contract","undergraduate mathematics education",1
"didactic ends","didactic means",1
"didactic ends","didactic paradigm",1
"didactic ends","epistemological model",1
"didactic engineering","mathematical modelling",1
"didactic engineering","study and research paths",1
"didactic means","didactic paradigm",1
"didactic means","epistemological model",1
"didactic paradigm","modality of study",1
"didactic paradigm","real numbers",1
"didactic paradigms","kyozai kenkyuu",1
"didactic paradigms","lesson study",1
"didactic paradigms","textbooks",1
"didactic transposition","interdisciplinarity",1
"didactic transposition","mathematical models",1
"didactic transposition","mathematics for engineers",1
"didactic transposition","modelling",1
"didactic transposition","numerical integration",1
"didactic transposition","praxeology",1
"didactic transposition","structuralist praxeologies",1
"didactic transposition","technology",1
"didactic transposition","textbook content",1
"didactic transposition","the anthropological theory of the didactic",1
"didactic transposition","topology",1
"didactic-specific courses","mathematics teacher educators",1
"didactic-specific courses","modelling",1
"didactic-specific courses","pedagogical content knowledge",1
"didactical contract","facilitator",1
"didactical contract","initial teacher education",1
"didactical contract","lesson study",1
"didactical contract","role",1
"didactical decision making","multilingual classrooms",1
"didactical decision making","teacher responsiveness",1
"didactics and epistemology of mathematics","model-theoretic approach on proof and proving",1
"didactics and epistemology of mathematics","proof by interpretation",1
"didactics and epistemology of mathematics","semantics",1
"didactics and epistemology of mathematics","syntax",1
"difference","discourse",1
"difference","inclusion",1
"difference","practices",1
"difference","representation",1
"differential calculus","mechanics",1
"differential calculus","mixed praxeologies",1
"differential calculus","paired courses",1
"differential equations","functions",1
"differential equations","general solution",1
"differential equations","textbooks analysis",1
"differentiation","mathematical challenge",1
"differentiation","teachers’ tensions",1
"difficulties","errors",1
"difficulties","fraction as an operator",1
"difficulties","primary school students",1
"difficulties","problem solving",1
"difficulties in learning arithmetic","dyscalculia",1
"difficulties in learning arithmetic","numeracy",1
"difficulties in learning arithmetic","secondary school",1
"digital","feedback",1
"digital","mathematics learning",1
"digital environments","inclusion",1
"digital environments","low-achievement",1
"digital environments","remedial intervention",1
"digital escape game","explaining",1
"digital escape game","large language model",1
"digital escape games","llms",1
"digital escape games","problem-solving",1
"digital escape games","support-element",1
"digital formative assessment","professional development",1
"digital game-based learning","educational technology",1
"digital game-based learning","instrumental genesis",1
"digital learning environment","discovery learning",1
"digital learning environment","geometry learning",1
"digital learning environments","equations",1
"digital literacy","instrumental approach",1
"digital literacy","instrumental distance",1
"digital literacy","instrumental genesis",1
"digital literacy","instrumental orchestration",1
"digital literacy","problem posing",1
"digital literacy","reflection",1
"digital materials","professional development",1
"digital materials","task design",1
"digital mathematical discussion","written communication",1
"digital problem-solving","digital tools",1
"digital problem-solving","mathematical problem-solving",1
"digital problem-solving","quasi-experimental study",1
"digital problem-solving","teaching experiment",1
"digital resource","prospective mathematics teacher",1
"digital resource","teacher design capacity",1
"digital technologies","discourse analysis",1
"digital technologies","early childhood education",1
"digital technologies","open environments",1
"digital technologies","preservice teachers",1
"digital technologies","simulations",1
"digital technologies","statistical modelling",1
"digital technologies","study and research paths",1
"digital technologies","task design",1
"digital technologies","teaching",1
"digital technologies","tertiary education",1
"digital technology","embodiment",1
"digital technology","formative assessment",1
"digital technology","inclusive education",1
"digital technology","instrumental orchestration",1
"digital technology","low-achievement",1
"digital technology","re-enactment",1
"digital textbooks","mathematics education",1
"digital textbooks","use of resources",1
"digital tool","eye tracking",1
"digital tool","multimodality",1
"digital tools","discourse analysis",1
"digital tools","early childhood education",1
"digital tools","evaluation",1
"digital tools","geometric proofs",1
"digital tools","guardians",1
"digital tools","interview study",1
"digital tools","mathematical communication",1
"digital tools","mathematical digital competency",1
"digital tools","mathematical modelling",1
"digital tools","mathematical problem-solving",1
"digital tools","portfolio",1
"digital tools","professional development program",1
"digital tools","professional growth",1
"digital tools","proof types",1
"digital tools","quasi-experimental study",1
"digital tools","questionnaire",1
"digital tools","teaching experiment",1
"digital tools","toulmin scheme",1
"digital tools","university mathematics education",1
"digital-embodied tasks","mathematics education",1
"digital-embodied tasks","nomogram",1
"dilemmas","preservice teachers",1
"dilemmas","textile dilemmas",1
"dimensions of conceptual knowledge","dynamic geometry",1
"dimensions of conceptual knowledge","geometric constructions",1
"dimensions of conceptual knowledge","properties of quadrilaterals",1
"disadvantage","mixed-ability",1
"disadvantage","secondary",1
"disadvantage","universal design for learning (udl)",1
"disadvantaged communities","re-engagement",1
"disciplinary","lesson study",1
"disciplinary","meta-disciplinary",1
"disciplinary","noticing",1
"disciplinary","prospective teacher education",1
"disciplinary boundaries","identity",1
"disciplinary boundaries","mathematics teacher educators",1
"disciplinary boundaries","valsiner’s zone theory",1
"discontinuity","mathematics for other disciplines",1
"discourse","identifying",1
"discourse","inclusion",1
"discourse","mathematising",1
"discourse","opportunities to learn",1
"discourse","practices",1
"discourse","representation",1
"discourse","symbolism",1
"discourse","university mathematics lectures",1
"discourse analysis","early childhood education",1
"discourse analysis","guardians",1
"discourse analysis","justification",1
"discourse analysis","mathematical ability",1
"discourse analysis","open environments",1
"discourse analysis","preservice support teachers",1
"discourse analysis","questionnaire",1
"discourse analysis","special education",1
"discourse analysis","task design",1
"discourse analysis","teaching",1
"discourse practices","language means",1
"discourse practices","scalar product",1
"discourses","diversity",1
"discourses","mathematics teacher education",1
"discourses","praxeologies.",1
"discovery learning","geometry learning",1
"discovery learning","mathematical induction",1
"discovery learning","pósa method",1
"discovery learning","tournaments",1
"discrete mathematics","generalization",1
"discrete mathematics education","problem-solving",1
"discrete mathematics education","proving process",1
"discursive","fraction division",1
"discursive","relating registers",1
"discussion","mediation",1
"discussion leading practice","noticing",1
"discussion leading practice","professional development",1
"disinformation","social media",1
"disinformation","statistical literacy",1
"ditom","mathematical key skills",1
"ditom","screening",1
"diversity","empowerment",1
"diversity","inclusive education",1
"diversity","mathematics education",1
"diversity","mathematics teacher education",1
"diversity","participation",1
"diversity","praxeologies.",1
"diversity of theories","language",1
"diversity of theories","research knowledge",1
"diversity of theories","transposition",1
"division","elementary school mathematics",1
"division","multiplication",1
"dnr-based instruction in mathematics (dnr)","individual teaching experiments",1
"dnr-based instruction in mathematics (dnr)","learning through activity (lta)",1
"documentational approach to didactics","lesson plan",1
"documentational approach to didactics","lesson scenario",1
"doing mathematics","gender differences",1
"doing mathematics","mathematics teachers’ conceptions",1
"doing mathematics","mathematics teaching",1
"doing mathematics","stem careers",1
"doing mathematics","stem education",1
"doing mathematics","students’ conceptions",1
"domains of teaching","monitoring",1
"domains of teaching","tasks of teaching",1
"domains of teaching","work of teaching",1
"doping","embodiment",1
"doping","radical embodiment",1
"dotplot","hatplot",1
"dotplot","histodot",1
"dotplot","histogram",1
"double discontinuity","geometry",1
"double discontinuity","secondary teacher education",1
"double discontinuity","subject matter noticing",1
"double discontinuity","university mathematics",1
"double instrumental genesis","genai",1
"double instrumental genesis","instrumental genesis",1
"double instrumental genesis","mathematics teachers",1
"double instrumental genesis","spreadsheets",1
"double integrals","geogebra",1
"double integrals","normal domain",1
"double integrals","polar change of coordinates",1
"double integrals","questionnaire",1
"double integrals","teaching and learning mathematics for engineers",1
"drawing","dynamic geometry software",1
"drawing","figure",1
"dual-process theory","exit exams",1
"dual-process theory","multiple-choice",1
"dual-process theory","task design",1
"dynamic geometry","geometric constructions",1
"dynamic geometry","properties of quadrilaterals",1
"dynamic geometry software","figure",1
"dynamic software tools","innovative practices",1
"dynamic software tools","resources",1
"dynamic software tools","statistics teaching",1
"dynamic visualisations","static visualisations",1
"dynamic visualisations","understanding",1
"dyscalculia","numeracy",1
"dyscalculia","secondary school",1
"early algebra","programming",1
"early algebra","repeating patterns",1
"early algebra","scratch",1
"early algebra","teaching algebra",1
"early algebra","teaching experiment",1
"early arithmetic","embodied cognition",1
"early arithmetic","finger use",1
"early arithmetic education","teacher education",1
"early arithmetic education","vignettes",1
"early arithmetic skills","learning study",1
"early arithmetic skills","prospective teachers",1
"early arithmetic skills","teacher education",1
"early childhood","home-numeracy",1
"early childhood","intellectual disabilities",1
"early childhood","parental practices",1
"early childhood education","economics education",1
"early childhood education","elementary school children",1
"early childhood education","guardians",1
"early childhood education","itineraries",1
"early childhood education","map-reading",1
"early childhood education","monetary system",1
"early childhood education","preservice teachers",1
"early childhood education","programming",1
"early childhood education","questionnaire",1
"early childhood education","repeating patterns",1
"early childhood education","robotics",1
"early childhood education","structural awareness",1
"early childhood education","variation theory",1
"early childhood mathematics education","lct",1
"early childhood mathematics education","screening",1
"early childhood mathematics education","semantic waves",1
"early learning","family maths",1
"early learning","game-based learning",1
"early learning","play-based learning",1
"early learning","transition to school",1
"early mathematics","fidelity",1
"early mathematics","implementation",1
"early mathematics","preschool",1
"early mathematics education","perceiving structures",1
"early mathematics education","preschool education",1
"early mathematics education","sad affects",1
"early mathematics education","teacher education",1
"early mathematics education","word problems",1
"early school leaving","theory of semiotic mediation",1
"early school leaving","vocational school",1
"early years education","mathematics discourse",1
"early years education","mathematics textbook tasks",1
"early years education","routines",1
"early years education","visual mediators",1
"early years mathematics","kindergarten teachers",1
"early years mathematics","preschool education",1
"early years mathematics","professional development",1
"ecological","embodiment",1
"ecological","geological",1
"ecological","materiality",1
"ecological","political",1
"ecology","mathematics lecturers",1
"ecology","task design",1
"economics education","elementary school children",1
"economics education","monetary system",1
"education for sustainable development","mathematics education",1
"education for sustainable development","mathematics tasks",1
"education for sustainable development","stem",1
"education for sustainable development","sustainability competences",1
"education for sustainable development","task design",1
"education for sustainable development","teacher education",1
"education for sustainable development (esd)","mathematics education for sustainability",1
"education for sustainable development (esd)","motivation",1
"education for sustainable development (esd)","questionnaire",1
"education for sustainable development (esd)","sustainability",1
"educational design research","prison education",1
"educational games","expressions",1
"educational games","number theory",1
"educational games","task design",1
"educational history","mathematics education",1
"educational policy","sociocultural factors",1
"educational policy","textbook analysis",1
"educational resilience","emotional self-awareness",1
"educational resilience","prospective mathematics teachers",1
"educational robotics","mathematics learning",1
"educational robotics","multimodality",1
"educational robotics","social robot’s acceptance",1
"educational robots","spatial reasoning",1
"educational technology","embodied learning",1
"educational technology","geogebra",1
"educational technology","instrumental genesis",1
"educational technology","mathematical transformations",1
"educational technology","music",1
"educational technology","periodic functions",1
"educational technology","spatial ability",1
"educator noticing","in-service teacher education",1
"educator noticing","teacher noticing",1
"elementary","intervention",1
"elementary","structural approach",1
"elementary","two-digit subtraction",1
"elementary","variation theory",1
"elementary arithmetic","flexibility in mental calculation",1
"elementary arithmetic","number patterns",1
"elementary arithmetic","problem characteristics",1
"elementary education","mathematical processes",1
"elementary education","mathematics connections",1
"elementary education","rural schools",1
"elementary education","stem education",1
"elementary education","teacher leadership",1
"elementary education","teacher practice",1
"elementary mathematics education","fractions",1
"elementary mathematics education","meaning-related vocabulary",1
"elementary mathematics education","translanguaging pedagogy",1
"elementary school","teachers’ professional development",1
"elementary school children","monetary system",1
"elementary school mathematics","mathematics activities",1
"elementary school mathematics","modes of representation",1
"elementary school mathematics","multiplication",1
"elementary school mathematics","object-centred movement",1
"elementary school mathematics","place value",1
"elementary school mathematics","professional development",1
"elementary school mathematics","representations",1
"elementary school mathematics","task analysis",1
"elementary school mathematics","teacher education",1
"elementary school students","interaction process analysis",1
"elementary school students","manipulative materials",1
"elementary school students","mathematical concepts",1
"elementary school students","tablet computers",1
"elicitation","feedback",1
"elicitation","formative assessment",1
"elicitation","professional development",1
"embodied abstraction","geometry",1
"embodied abstraction","primary school",1
"embodied abstraction","teacher-researcher collaboration",1
"embodied argumentation","preservice teachers",1
"embodied argumentation","spatial geometry",1
"embodied cognition","embodied learning",1
"embodied cognition","enactive learning",1
"embodied cognition","field of promoted actions",1
"embodied cognition","finger use",1
"embodied cognition","geometry",1
"embodied cognition","implementation research",1
"embodied cognition","learning definition",1
"embodied cognition","mathematics education",1
"embodied design","mathematical folding",1
"embodied learning","eye movements",1
"embodied learning","geogebra",1
"embodied learning","learning definition",1
"embodied learning","mathematical transformations",1
"embodied learning","spatial ability",1
"embodied learning","visuality",1
"embodied representation","mathematics",1
"embodied representation","spatial perspectives",1
"embodiment","erotics",1
"embodiment","geological",1
"embodiment","inclusive education",1
"embodiment","lecture",1
"embodiment","low-achievement",1
"embodiment","materiality",1
"embodiment","political",1
"embodiment","radical embodiment",1
"embodiment","re-enactment",1
"embodiment","resonance",1
"embodiment","university mathematics education",1
"emergent learning","informal mathematics education",1
"emergent learning","museums",1
"emergent learning","professional development",1
"emerging embodied technology","functions",1
"emerging embodied technology","geogebra plus",1
"emerging embodied technology","secondary education",1
"emotional self-awareness","prospective mathematics teachers",1
"emotions","graphing",1
"emotions","mathematics education",1
"emotions","perceived difficulty",1
"emotions","personal epistemology",1
"emotions","primary school",1
"emotions","qualitative study",1
"emotions","secondary-tertiary transition",1
"emotions","values",1
"empirical proof scheme","mathematical proof",1
"empirical proof scheme","paper-folding",1
"empirical proof scheme","perception of shapes",1
"empirical study","place value understanding",1
"empirical study","representations of numbers",1
"empowerment","experiential learning",1
"empowerment","inclusive education",1
"empowerment","informal mathematics education",1
"empowerment","mathematics education",1
"empowerment","participation",1
"empowerment","problem solving",1
"enactive learning","implementation research",1
"enculturation","networking of theories",1
"enculturation","theory of transformative education",1
"engagement","foreground",1
"engagement","historical awareness",1
"engagement","idea generating processes",1
"engineering mathematics","problem-based learning",1
"engineering mathematics","vector cross product",1
"engineering mathematics","virtual reality",1
"english (second language)","mathematical concepts",1
"enumeration","problem solving",1
"enumeration","secondary school",1
"epistemic emotions; control-value theory","linear algebra",1
"epistemic emotions; control-value theory","mathematical working spaces",1
"epistemic logic","interaction",1
"epistemic logic","preservice teachers",1
"epistemic obstacle","epistemological obstacle",1
"epistemic obstacle","epistemology",1
"epistemic obstacle","husserl",1
