Id,Label,Degree,Weighted Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,X,Y,Z,Size,Color
didactic engineering,didactic engineering,4,4,3,6,0.258447,0.274267,0,0.010569,0.010569,0.00051,0,0.324802,0.071796,0.915783,0.023438,"#ff725c"
enculturation,enculturation,4,4,3,7,0.225402,0.236718,0,0.002465,0.002465,0.00059,0,0.343662,0.04858,0.920182,0.023438,"#ff725c"
fundamental didactics,fundamental didactics,3,3,3,7,0.225364,0.236342,0,0.00228,0.00228,0.000494,0,0.511942,0.013715,0.937093,0.015625,"#ff725c"
investigative questions,investigative questions,4,4,3,7,0.245527,0.259633,0,0.008004,0.008004,0.000511,0,0.308053,0.107894,0.918332,0.023438,"#ff725c"
lesson observation,lesson observation,7,7,3,6,0.26098,0.278888,3411.664116,0.013276,0.013276,0.00093,0,0.489879,0.154583,0.877285,0.046875,"#ff725c"
networking of theories,networking of theories,4,4,3,7,0.225402,0.236718,0,0.002465,0.002465,0.00059,0,0.343662,0.068863,0.919685,0.023438,"#ff725c"
praxeological equipment,praxeological equipment,4,4,3,6,0.257946,0.274493,0,0.012723,0.012723,0.00054,0,0.284385,0.108315,0.920337,0.023438,"#ff725c"
praxeological reference model,praxeological reference model,4,4,3,6,0.257946,0.274493,0,0.012723,0.012723,0.00054,0,0.296222,0.108315,0.922377,0.023438,"#ff725c"
reference materials,reference materials,3,3,3,7,0.225364,0.236342,0,0.00228,0.00228,0.000494,0,0.523222,0.013715,0.932669,0.015625,"#ff725c"
study and research path,study and research path,7,7,3,6,0.263617,0.281042,612.598047,0.012934,0.012934,0.00084,0,0.496631,0.166154,0.876857,0.046875,"#ff725c"
theory of didactical situations,theory of didactical situations,3,3,3,7,0.225364,0.236342,0,0.00228,0.00228,0.000494,0,0.517582,0.02338,0.934967,0.015625,"#ff725c"
theory of transformative education,theory of transformative education,4,4,3,7,0.225402,0.236718,0,0.002465,0.002465,0.00059,0,0.337743,0.058721,0.919862,0.023438,"#ff725c"
anthropological theory of the didactic (atd),anthropological theory of the didactic (atd),7,7,3,7,0.241868,0.256563,1154.336835,0.004368,0.004368,0.000955,0,0.496631,0.143012,0.876194,0.046875,"#ff725c"
klein’s second discontinuity,klein’s second discontinuity,4,4,3,7,0.231237,0.244379,0,0.002823,0.002823,0.00059,0,0.34197,0.085386,0.917786,0.023438,"#ff725c"
mathematics teacher practice,mathematics teacher practice,3,3,3,7,0.221354,0.232169,0,0.001812,0.001812,0.000455,0,0.582917,0.041746,0.935622,0.015625,"#ff725c"
secondary schools,secondary schools,6,6,3,7,0.222538,0.23477,1282.974172,0.002025,0.002025,0.000884,0,0.491996,0,0.890248,0.039062,"#ff725c"
textbook analysis,textbook analysis,12,12,3,7,0.238189,0.253733,5893.506058,0.004181,0.004181,0.001814,0,0.435567,0.132087,0.811652,0.085938,"#ff725c"
university mathematics for prospective teachers,university mathematics for prospective teachers,4,4,3,7,0.231237,0.244379,0,0.002823,0.002823,0.00059,0,0.330133,0.085386,0.920188,0.023438,"#ff725c"
anthropological theory of the didactics,anthropological theory of the didactics,6,6,3,7,0.229522,0.240641,2658,0.003119,0.003119,0.000963,0,0.472572,0.011094,0.891022,0.039062,"#ff725c"
discontinuity,discontinuity,2,2,3,8,0.186728,0.192632,0,0.000217,0.000217,0.000433,0,0.43712,0.027134,0.9544,0.007812,"#ff725c"
discourses,discourses,4,4,3,7,0.229443,0.239889,0,0.003092,0.003092,0.000602,0,0.362874,0.11516,0.923316,0.023438,"#ff725c"
diversity,diversity,8,8,3,6,0.294274,0.313524,12960.817503,0.037459,0.037459,0.001026,0,0.448182,0.182154,0.861135,0.054688,"#ff725c"
mathematics for other disciplines,mathematics for other disciplines,2,2,3,8,0.186728,0.192632,0,0.000217,0.000217,0.000433,0,0.426395,0.027134,0.956233,0.007812,"#ff725c"
mathematics teacher education,mathematics teacher education,14,14,3,7,0.237424,0.252274,8114.040255,0.003792,0.003792,0.001913,0,0.471187,0.100305,0.77716,0.101562,"#ff725c"
praxeologies.,praxeologies.,4,4,3,7,0.229443,0.239889,0,0.003092,0.003092,0.000602,0,0.354046,0.107359,0.921084,0.023438,"#ff725c"
educational resilience,educational resilience,4,4,4,8,0.169037,0.175716,0,0.00005,0.00005,0.000658,0,0.817865,0.84467,0.930442,0.023438,"#6cc5b0"
emotional self-awareness,emotional self-awareness,4,4,4,8,0.169037,0.175716,0,0.00005,0.00005,0.000658,0,0.811947,0.854811,0.939176,0.023438,"#6cc5b0"
prospective mathematics teachers,prospective mathematics teachers,4,4,4,8,0.169037,0.175716,0,0.00005,0.00005,0.000658,0,0.806029,0.84467,0.933288,0.023438,"#6cc5b0"
apos,apos,3,3,0,6,0.235076,0.247195,0,0.002139,0.002139,0.000424,0,0.262859,0.355513,0.933495,0.015625,"#ff8ab7"
multivariable functions,multivariable functions,7,7,0,6,0.266413,0.283884,3080.794752,0.009877,0.009877,0.00085,0,0.266893,0.433379,0.87478,0.046875,"#ff8ab7"
apos theory,apos theory,4,4,0,7,0.215826,0.22763,0,0.000878,0.000878,0.000598,0,0.440455,0.41601,0.926442,0.023438,"#ff8ab7"
infinite series,infinite series,4,4,0,7,0.215826,0.22763,0,0.000878,0.000878,0.000598,0,0.434537,0.426152,0.934496,0.023438,"#ff8ab7"
partial sums,partial sums,4,4,0,7,0.215826,0.22763,0,0.000878,0.000878,0.000598,0,0.440455,0.436293,0.92431,0.023438,"#ff8ab7"
schema,schema,4,4,0,7,0.215826,0.22763,0,0.000878,0.000878,0.000598,0,0.446373,0.426152,0.92549,0.023438,"#ff8ab7"
application tasks,application tasks,4,4,3,7,0.223098,0.234249,0,0.001888,0.001888,0.000583,0,0.35429,0.086542,0.920491,0.023438,"#ff725c"
conceptual knowledge,conceptual knowledge,7,7,3,7,0.228694,0.242388,4557.420071,0.002032,0.002032,0.000972,0,0.523641,0.143012,0.877175,0.046875,"#ff725c"
mathematics teachers,mathematics teachers,21,21,3,6,0.28428,0.307538,19834.236173,0.023168,0.023168,0.002583,0,0.467161,0.155088,0.675499,0.15625,"#ff725c"
mathematics teacher’s specialised knowledge,mathematics teacher’s specialised knowledge,4,4,3,7,0.223098,0.234249,0,0.001888,0.001888,0.000583,0,0.366127,0.086542,0.921708,0.023438,"#ff725c"
ratio,ratio,4,4,3,7,0.223098,0.234249,0,0.001888,0.001888,0.000583,0,0.360209,0.096683,0.919812,0.023438,"#ff725c"
applied mathematics,applied mathematics,3,3,2,6,0.257347,0.27125,0,0.010543,0.010543,0.000485,0,0.293947,0.804976,0.932441,0.015625,"#4269d0"
pólya,pólya,3,3,2,6,0.257347,0.27125,0,0.010543,0.010543,0.000485,0,0.305228,0.804976,0.963706,0.015625,"#4269d0"
real-world problems,real-world problems,3,3,2,6,0.257347,0.27125,0,0.010543,0.010543,0.000485,0,0.299587,0.814641,0.952297,0.015625,"#4269d0"
approximation of practice,approximation of practice,4,4,3,8,0.19198,0.199782,0,0.000307,0.000307,0.000632,0,0.313972,0.129746,0.927947,0.023438,"#ff725c"
online,online,4,4,3,8,0.19198,0.199782,0,0.000307,0.000307,0.000632,0,0.308053,0.139888,0.924155,0.023438,"#ff725c"
rehearsals,rehearsals,4,4,3,8,0.19198,0.199782,0,0.000307,0.000307,0.000632,0,0.302135,0.129746,0.932595,0.023438,"#ff725c"
role-playing,role-playing,4,4,3,8,0.19198,0.199782,0,0.000307,0.000307,0.000632,0,0.308053,0.119605,0.923881,0.023438,"#ff725c"
mathematical problem solving,mathematical problem solving,4,4,2,6,0.266573,0.281117,0,0.021214,0.021214,0.000502,0,0.491871,0.921412,0.923912,0.023438,"#4269d0"
comparative study,comparative study,3,3,6,6,0.242706,0.256048,0,0.003578,0.003578,0.000448,0,0.195481,0.296228,0.944371,0.015625,"#3ca951"
concept formation,concept formation,4,4,6,6,0.253331,0.269008,0,0.005276,0.005276,0.000525,0,0.085043,0.170989,0.916861,0.023438,"#3ca951"
continuous fractions,continuous fractions,4,4,6,7,0.223023,0.234866,0,0.001482,0.001482,0.0006,0,0.023673,0.181895,0.922653,0.023438,"#3ca951"
debate,debate,4,4,6,7,0.252418,0.265894,0,0.006368,0.006368,0.00055,0,0.061745,0.205619,0.923582,0.023438,"#3ca951"
density of q in r,density of q in r,4,4,6,7,0.223023,0.234866,0,0.001482,0.001482,0.0006,0,0.005918,0.192036,0.923893,0.023438,"#3ca951"
differential equations,differential equations,7,7,6,6,0.262576,0.28128,2610.930661,0.007166,0.007166,0.000892,0,0.199386,0.200282,0.865797,0.046875,"#3ca951"
discourse analysis,discourse analysis,13,13,6,6,0.29112,0.312334,10628.718247,0.020917,0.020917,0.001594,0,0.14774,0.236004,0.81924,0.09375,"#3ca951"
discussion,discussion,4,4,6,7,0.252418,0.265894,0,0.006368,0.006368,0.00055,0,0.073582,0.205619,0.918186,0.023438,"#3ca951"
empirical proof scheme,empirical proof scheme,4,4,6,7,0.223023,0.234866,0,0.001482,0.001482,0.0006,0,0.017755,0.192036,0.919877,0.023438,"#3ca951"
explanatory function,explanatory function,3,3,2,7,0.23969,0.252546,0,0.003094,0.003094,0.000432,0,0.19965,0.727005,0.935474,0.015625,"#4269d0"
habermas’ rationality,habermas’ rationality,3,3,6,7,0.222985,0.234491,0,0.001371,0.001371,0.000502,0,0.211654,0.264414,0.935703,0.015625,"#3ca951"
justification,justification,2,2,6,6,0.239733,0.252041,0,0.002555,0.002555,0.000322,0,0.159723,0.181921,0.953987,0.007812,"#3ca951"
lakatos,lakatos,4,4,6,7,0.237848,0.252884,0,0.002716,0.002716,0.000543,0,0.09812,0.207441,0.920705,0.023438,"#3ca951"
mathematical proof,mathematical proof,4,4,6,7,0.223023,0.234866,0,0.001482,0.001482,0.0006,0,0.011837,0.202178,0.920996,0.023438,"#3ca951"
mathematics classrooms,mathematics classrooms,3,3,6,6,0.242706,0.256048,0,0.003578,0.003578,0.000448,0,0.206762,0.296228,0.93902,0.015625,"#3ca951"
mediation,mediation,4,4,6,7,0.252418,0.265894,0,0.006368,0.006368,0.00055,0,0.067663,0.21576,0.917908,0.023438,"#3ca951"
paper-folding,paper-folding,4,4,6,7,0.223023,0.234866,0,0.001482,0.001482,0.0006,0,0.023673,0.202178,0.917812,0.023438,"#3ca951"
perception of shapes,perception of shapes,4,4,6,7,0.223023,0.234866,0,0.001482,0.001482,0.0006,0,0,0.202178,0.919959,0.023438,"#3ca951"
probability,probability,12,12,2,6,0.281693,0.301553,5842.674255,0.019161,0.019161,0.00155,0,0.388893,0.713592,0.815239,0.085938,"#4269d0"
reasoning,reasoning,14,14,6,6,0.272746,0.293764,8590.298665,0.009829,0.009829,0.001752,0,0.156306,0.22134,0.775665,0.101562,"#3ca951"
recipes,recipes,4,4,6,7,0.237848,0.252884,0,0.002716,0.002716,0.000543,0,0.086283,0.207441,0.917803,0.023438,"#3ca951"
spontaneous conceptions,spontaneous conceptions,4,4,6,7,0.223023,0.234866,0,0.001482,0.001482,0.0006,0,0.011837,0.181895,0.921904,0.023438,"#3ca951"
statistical reasoning,statistical reasoning,3,3,6,7,0.222985,0.234491,0,0.001371,0.001371,0.000502,0,0.206014,0.254749,0.93596,0.015625,"#3ca951"
toulmin’s model,toulmin’s model,3,3,6,7,0.222985,0.234491,0,0.001371,0.001371,0.000502,0,0.217294,0.254749,0.93506,0.015625,"#3ca951"
upper secondary school,upper secondary school,7,7,4,7,0.26456,0.281859,1436.492165,0.010015,0.010015,0.000866,0,0.880631,0.610023,0.870995,0.046875,"#6cc5b0"
warrant,warrant,4,4,6,7,0.223023,0.234866,0,0.001482,0.001482,0.0006,0,0,0.181895,0.921591,0.023438,"#3ca951"
argumentations,argumentations,4,4,2,6,0.260929,0.275695,0,0.011979,0.011979,0.000557,0,0.599321,0.847443,0.924444,0.023438,"#4269d0"
necessary object-level narratives,necessary object-level narratives,4,4,2,6,0.260929,0.275695,0,0.011979,0.011979,0.000557,0,0.60524,0.837302,0.922088,0.023438,"#4269d0"
primary and middle school,primary and middle school,4,4,2,6,0.260929,0.275695,0,0.011979,0.011979,0.000557,0,0.593403,0.837302,0.920979,0.023438,"#4269d0"
argumentative dialogue,argumentative dialogue,4,4,2,6,0.301541,0.322151,0,0.056254,0.056254,0.000517,0,0.645316,0.910727,0.92579,0.023438,"#4269d0"
dialogic teaching,dialogic teaching,4,4,2,6,0.301541,0.322151,0,0.056254,0.056254,0.000517,0,0.657153,0.910727,0.929014,0.023438,"#4269d0"
arithmetic,arithmetic,2,2,2,6,0.288845,0.305309,0,0.029546,0.029546,0.000332,0,0.561143,0.609889,0.948257,0.007812,"#4269d0"
arithmetic mean,arithmetic mean,3,3,0,7,0.216881,0.227076,0,0.00142,0.00142,0.00051,0,0.278994,0.338786,0.939044,0.015625,"#ff8ab7"
conceptual focus,conceptual focus,3,3,0,7,0.216881,0.227076,0,0.00142,0.00142,0.00051,0,0.284635,0.329121,0.93837,0.015625,"#ff8ab7"
conversions,conversions,3,3,0,7,0.216881,0.227076,0,0.00142,0.00142,0.00051,0,0.273354,0.329121,0.938441,0.015625,"#ff8ab7"
representations,representations,17,17,0,6,0.276773,0.299186,18176.422271,0.018948,0.018948,0.002162,0,0.3303,0.465747,0.707982,0.125,"#ff8ab7"
arithmetic structure,arithmetic structure,2,2,2,7,0.214816,0.223634,0,0.001221,0.001221,0.000416,0,0.495227,0.637503,0.95601,0.007812,"#4269d0"
quantitative reasoning,quantitative reasoning,2,2,2,7,0.214816,0.223634,0,0.001221,0.001221,0.000416,0,0.505952,0.637503,0.956088,0.007812,"#4269d0"
word problem,word problem,7,7,2,6,0.273474,0.292111,3262.435667,0.017515,0.017515,0.001043,0,0.6347,0.757123,0.881922,0.046875,"#4269d0"
arithmetics,arithmetics,3,3,6,6,0.255814,0.270298,0,0.007329,0.007328,0.000416,0,0.193861,0.257971,0.935989,0.015625,"#3ca951"
word problems,word problems,21,21,6,6,0.302363,0.326797,17403.028919,0.035866,0.035866,0.00245,0,0.18199,0.200456,0.691304,0.15625,"#3ca951"
arrangement,arrangement,4,4,6,6,0.25099,0.267117,0,0.006556,0.006556,0.000539,0,0.061745,0.167393,0.930674,0.023438,"#3ca951"
counting problems,counting problems,4,4,6,6,0.25099,0.267117,0,0.006556,0.006556,0.000539,0,0.073582,0.167393,0.925162,0.023438,"#3ca951"
artefacts,artefacts,4,4,5,7,0.224301,0.236936,0,0.003136,0.003136,0.00055,0,0.747408,0.078997,0.915174,0.023438,"#97bbf5"
numbers,numbers,4,4,5,7,0.224301,0.236936,0,0.003136,0.003136,0.00055,0,0.735571,0.078997,0.914975,0.023438,"#97bbf5"
teaching actions,teaching actions,4,4,5,7,0.224301,0.236936,0,0.003136,0.003136,0.00055,0,0.74149,0.089138,0.920219,0.023438,"#97bbf5"
variation theory,variation theory,17,17,5,6,0.271577,0.293388,9290.156833,0.015245,0.015245,0.002052,0,0.668105,0.158329,0.731205,0.125,"#97bbf5"
artifact,artifact,3,3,6,6,0.251085,0.264087,0,0.006903,0.006903,0.000438,0,0.189732,0.274644,0.936211,0.015625,"#3ca951"
fractions,fractions,29,29,1,5,0.328642,0.359554,35086.363508,0.088506,0.088506,0.003376,0,0.690093,0.414037,0.608256,0.21875,"#efb118"
instrument,instrument,3,3,6,6,0.251085,0.264087,0,0.006903,0.006903,0.000438,0,0.201012,0.274644,0.934538,0.015625,"#3ca951"
visual representation,visual representation,12,12,6,6,0.263252,0.281405,6249.773859,0.010541,0.010541,0.001444,0,0.12254,0.251501,0.796855,0.085938,"#3ca951"
chatbots,chatbots,3,3,2,6,0.297032,0.315177,0,0.037906,0.037906,0.000407,0,0.265859,0.776871,0.937039,0.015625,"#4269d0"
digital escape game,digital escape game,3,3,2,7,0.242264,0.253422,0,0.005708,0.005708,0.000459,0,0.276132,0.77118,0.932264,0.015625,"#4269d0"
explaining,explaining,3,3,2,7,0.242264,0.253422,0,0.005708,0.005708,0.000459,0,0.287412,0.77118,0.934329,0.015625,"#4269d0"
fermi problem,fermi problem,3,3,2,6,0.265139,0.280203,0,0.014505,0.014506,0.000426,0,0.249418,0.707242,0.931892,0.015625,"#4269d0"
fermi problems,fermi problems,14,14,2,5,0.308673,0.331718,7176.846874,0.048369,0.048369,0.001551,0,0.465705,0.690836,0.78359,0.101562,"#4269d0"
modelling,modelling,23,23,3,6,0.286792,0.313686,18561.651583,0.026673,0.026673,0.002791,0,0.461796,0.069587,0.645924,0.171875,"#ff725c"
multimodality,multimodality,13,13,3,5,0.303396,0.325056,10311.345999,0.04162,0.041621,0.00155,0,0.479421,0.122051,0.802025,0.09375,"#ff725c"
prompts,prompts,4,4,2,6,0.264823,0.281392,0,0.014811,0.014811,0.000507,0,0.534957,0.923258,0.918563,0.023438,"#4269d0"
semiotic system,semiotic system,3,3,2,6,0.294274,0.311683,0,0.03429,0.03429,0.00041,0,0.283745,0.787807,0.939054,0.015625,"#4269d0"
artificial intelligence literacy,artificial intelligence literacy,5,5,2,6,0.288908,0.306186,0,0.036832,0.036833,0.000655,0,0.437415,0.617032,0.914105,0.03125,"#4269d0"
five big ideas in ai,five big ideas in ai,5,5,2,6,0.288908,0.306186,0,0.036832,0.036833,0.000655,0,0.418826,0.606414,0.911381,0.03125,"#4269d0"
human-centered design,human-centered design,5,5,2,6,0.288908,0.306186,0,0.036832,0.036833,0.000655,0,0.425022,0.617032,0.903767,0.03125,"#4269d0"
instructional strategies,instructional strategies,5,5,2,6,0.288908,0.306186,0,0.036832,0.036833,0.000655,0,0.431219,0.62765,0.913198,0.03125,"#4269d0"
integration methods,integration methods,5,5,2,6,0.288908,0.306186,0,0.036832,0.036833,0.000655,0,0.431219,0.606414,0.911827,0.03125,"#4269d0"
digital tools,digital tools,24,24,2,6,0.286668,0.314488,26848.289953,0.019462,0.019462,0.002808,0,0.471385,0.75951,0.646082,0.179688,"#4269d0"
embodied design,embodied design,2,2,2,7,0.237976,0.249513,0,0.002746,0.002746,0.000384,0,0.556239,0.619895,0.952777,0.007812,"#4269d0"
interview study,interview study,4,4,2,6,0.26668,0.283984,0,0.009889,0.009889,0.000534,0,0.560649,0.975244,0.933593,0.023438,"#4269d0"
istem,istem,3,3,2,6,0.260063,0.273278,0,0.007786,0.007786,0.000417,0,0.247165,0.683587,0.934413,0.015625,"#4269d0"
mathematical folding,mathematical folding,2,2,2,7,0.237976,0.249513,0,0.002746,0.002746,0.000384,0,0.561601,0.629084,0.954564,0.007812,"#4269d0"
portfolio,portfolio,4,4,2,6,0.26668,0.283984,0,0.009889,0.009889,0.000534,0,0.548813,0.975244,0.921349,0.023438,"#4269d0"
school algebra,school algebra,2,2,2,7,0.237976,0.249513,0,0.002746,0.002746,0.000384,0,0.556239,0.638273,0.949518,0.007812,"#4269d0"
secondary school,secondary school,19,19,2,5,0.323058,0.346519,19960.994765,0.05649,0.05649,0.00217,0,0.346473,0.856542,0.713997,0.140625,"#4269d0"
standardised sssessment,standardised sssessment,3,3,2,7,0.238019,0.249889,0,0.002952,0.002952,0.000509,0,0.209721,0.71552,0.935809,0.015625,"#4269d0"
students’ learning,students’ learning,2,2,2,7,0.237976,0.249513,0,0.002746,0.002746,0.000384,0,0.550877,0.629084,0.954693,0.007812,"#4269d0"
teacher perspective,teacher perspective,3,3,2,6,0.242928,0.255084,0,0.003323,0.003323,0.000453,0,0.30519,0.720345,0.933852,0.015625,"#4269d0"
teacher practice,teacher practice,6,6,2,6,0.243996,0.257638,1661.870204,0.003693,0.003693,0.000874,0,0.578362,0.7247,0.886129,0.039062,"#4269d0"
teachers beliefs,teachers beliefs,3,3,2,7,0.238019,0.249889,0,0.002952,0.002952,0.000509,0,0.221001,0.71552,0.942006,0.015625,"#4269d0"
teachers knowledge,teachers knowledge,3,3,2,7,0.238019,0.249889,0,0.002952,0.002952,0.000509,0,0.215361,0.725185,0.93528,0.015625,"#4269d0"
two-dimensional curriculum,two-dimensional curriculum,2,2,2,6,0.248414,0.262034,0,0.004305,0.004305,0.000324,0,0.512339,0.667235,0.952542,0.007812,"#4269d0"
assessment scoring approach,assessment scoring approach,3,3,2,7,0.228341,0.238258,0,0.002999,0.002999,0.000532,0,0.259214,0.712775,0.935781,0.015625,"#4269d0"
marking scheme,marking scheme,3,3,2,7,0.228341,0.238258,0,0.002999,0.002999,0.000532,0,0.281775,0.712775,0.936203,0.015625,"#4269d0"
rasch analysis,rasch analysis,3,3,2,7,0.228341,0.238258,0,0.002999,0.002999,0.000532,0,0.270495,0.732105,0.935511,0.015625,"#4269d0"
asymptotes,asymptotes,4,4,2,6,0.288845,0.30581,0,0.033849,0.03385,0.000578,0,0.568014,0.910428,0.934577,0.023438,"#4269d0"
computer-aided assessment,computer-aided assessment,4,4,2,6,0.288845,0.30581,0,0.033849,0.03385,0.000578,0,0.562096,0.900286,0.925259,0.023438,"#4269d0"
example-generation tasks,example-generation tasks,4,4,2,6,0.288845,0.30581,0,0.033849,0.03385,0.000578,0,0.573932,0.900286,0.932408,0.023438,"#4269d0"
graphical assessment,graphical assessment,4,4,2,6,0.288845,0.30581,0,0.033849,0.03385,0.000578,0,0.568014,0.890145,0.926498,0.023438,"#4269d0"
atd,atd,3,3,2,6,0.258046,0.271488,0,0.012042,0.012042,0.000486,0,0.166327,0.689422,0.941528,0.015625,"#4269d0"
ecology,ecology,3,3,2,6,0.258046,0.271488,0,0.012042,0.012042,0.000486,0,0.171967,0.699087,0.947045,0.015625,"#4269d0"
mathematics lecturers,mathematics lecturers,3,3,2,6,0.258046,0.271488,0,0.012042,0.012042,0.000486,0,0.183248,0.699087,0.949282,0.015625,"#4269d0"
attitudes,attitudes,4,4,7,8,0.186755,0.195594,0,0.000172,0.000172,0.000619,0,0.180194,0.559776,0.935032,0.023438,"#a463f2"
chat gpt,chat gpt,4,4,7,8,0.186755,0.195594,0,0.000172,0.000172,0.000619,0,0.174276,0.569918,0.935083,0.023438,"#a463f2"
llm,llm,4,4,7,8,0.186755,0.195594,0,0.000172,0.000172,0.000619,0,0.174276,0.549635,0.932354,0.023438,"#a463f2"
numerical methods,numerical methods,4,4,7,8,0.186755,0.195594,0,0.000172,0.000172,0.000619,0,0.168357,0.559776,0.933717,0.023438,"#a463f2"
university mathematics education,university mathematics education,12,12,7,7,0.229483,0.246111,7824.406918,0.002125,0.002125,0.001577,0,0.146672,0.489147,0.819092,0.085938,"#a463f2"
attitudes towards statistics,attitudes towards statistics,3,3,1,7,0.269052,0.286618,0,0.020275,0.020275,0.000436,0,0.839527,0.473351,0.936562,0.015625,"#efb118"
growth mindset,growth mindset,6,6,1,7,0.270969,0.290011,1107.819397,0.022343,0.022343,0.000818,0,0.65718,0.531756,0.898275,0.039062,"#efb118"
attribution theory,attribution theory,3,3,1,7,0.237297,0.250129,0,0.005102,0.005102,0.00043,0,0.845852,0.423218,0.93551,0.015625,"#efb118"
feedback,feedback,13,13,1,6,0.294144,0.316679,8393.562117,0.044484,0.044484,0.001569,0,0.653434,0.396541,0.773001,0.09375,"#efb118"
augmented reality,augmented reality,5,5,2,6,0.296899,0.316041,5402.280679,0.034462,0.034462,0.000672,0,0.446709,0.628903,0.899543,0.03125,"#4269d0"
elementary school mathematics,elementary school mathematics,13,13,0,5,0.295057,0.318244,15642.301468,0.040965,0.040965,0.001631,0,0.329658,0.410454,0.770813,0.09375,"#ff8ab7"
place value,place value,11,11,0,6,0.251037,0.266892,8473.006904,0.007951,0.007951,0.001661,0,0.324846,0.438613,0.805805,0.078125,"#ff8ab7"
augmented reality artificial intelligence,augmented reality artificial intelligence,2,2,4,8,0.17909,0.185762,0,0.000112,0.000112,0.000422,0,0.792045,0.703487,0.963367,0.007812,"#6cc5b0"
mixed reality,mixed reality,2,2,4,8,0.17909,0.185762,0,0.000112,0.000112,0.000422,0,0.80277,0.703487,0.962651,0.007812,"#6cc5b0"
virtual reality,virtual reality,10,10,4,7,0.218089,0.231189,6636,0.00161,0.00161,0.00153,0,0.904392,0.642879,0.860582,0.070312,"#6cc5b0"
authentic aspects,authentic aspects,4,4,4,7,0.223247,0.233698,0,0.001967,0.001967,0.000537,0,0.772416,0.811105,0.914275,0.023438,"#6cc5b0"
mathematics tasks,mathematics tasks,7,7,4,6,0.260572,0.275182,2197.75235,0.012606,0.012606,0.000838,0,0.873879,0.621593,0.871107,0.046875,"#6cc5b0"
students’ identity,students’ identity,4,4,4,7,0.223247,0.233698,0,0.001967,0.001967,0.000537,0,0.76058,0.811105,0.914528,0.023438,"#6cc5b0"
autism spectrum disorder,autism spectrum disorder,4,4,1,6,0.26047,0.275495,0,0.01063,0.01063,0.000529,0,0.56895,0.269814,0.931157,0.023438,"#efb118"
generalisation,generalisation,4,4,1,6,0.26047,0.275495,0,0.01063,0.01063,0.000529,0,0.557113,0.269814,0.922688,0.023438,"#efb118"
problem-solving,problem-solving,33,33,2,5,0.327188,0.359291,39560.645899,0.093819,0.093819,0.003997,0,0.388409,0.688244,0.461626,0.25,"#4269d0"
teachers’ knowledge,teachers’ knowledge,10,10,1,6,0.2662,0.284924,2756.513173,0.014566,0.014566,0.001261,0,0.699982,0.380173,0.839218,0.070312,"#efb118"
automated feedback,automated feedback,3,3,2,6,0.288783,0.305435,0,0.031313,0.031314,0.000484,0,0.294535,0.700037,0.940547,0.015625,"#4269d0"
digital textbooks,digital textbooks,3,3,2,6,0.288783,0.305435,0,0.031313,0.031314,0.000484,0,0.305815,0.700037,0.93547,0.015625,"#4269d0"
use of resources,use of resources,3,3,2,6,0.288783,0.305435,0,0.031313,0.031314,0.000484,0,0.300175,0.690372,0.933368,0.015625,"#4269d0"
autopoiesis,autopoiesis,4,4,2,6,0.288845,0.30581,0,0.033849,0.03385,0.000578,0,0.550259,0.900286,0.927028,0.023438,"#4269d0"
biology of cognition,biology of cognition,4,4,2,6,0.288845,0.30581,0,0.033849,0.03385,0.000578,0,0.585769,0.900286,0.92464,0.023438,"#4269d0"
experimental epistemology,experimental epistemology,4,4,2,6,0.288845,0.30581,0,0.033849,0.03385,0.000578,0,0.556177,0.890145,0.953242,0.023438,"#4269d0"
structural coupling,structural coupling,4,4,2,6,0.288845,0.30581,0,0.033849,0.03385,0.000578,0,0.579851,0.890145,0.918778,0.023438,"#4269d0"
backwash effect,backwash effect,4,4,2,6,0.262008,0.277673,0,0.016083,0.016083,0.000578,0,0.544357,0.875881,0.920884,0.023438,"#4269d0"
basic competences,basic competences,4,4,2,6,0.262008,0.277673,0,0.016083,0.016083,0.000578,0,0.538439,0.886023,0.915828,0.023438,"#4269d0"
solutions,solutions,4,4,2,6,0.262008,0.277673,0,0.016083,0.016083,0.000578,0,0.532521,0.875881,0.920344,0.023438,"#4269d0"
statewide exit exams,statewide exit exams,4,4,2,6,0.262008,0.277673,0,0.016083,0.016083,0.000578,0,0.538439,0.86574,0.920786,0.023438,"#4269d0"
basic arithmetic skills,basic arithmetic skills,3,3,1,6,0.23396,0.243939,0,0.002748,0.002748,0.000465,0,0.829664,0.466644,0.937649,0.015625,"#efb118"
learning support,learning support,3,3,1,6,0.23396,0.243939,0,0.002748,0.002748,0.000465,0,0.818383,0.466644,0.936516,0.015625,"#efb118"
practices,practices,7,7,1,6,0.266573,0.281618,1063.294261,0.009639,0.009639,0.000897,0,0.729239,0.582003,0.877757,0.046875,"#efb118"
prospective teachers,prospective teachers,12,12,1,5,0.295844,0.316617,7742.371978,0.029787,0.029787,0.00158,0,0.660024,0.488923,0.798536,0.085938,"#efb118"
basic facts of multiplication,basic facts of multiplication,3,3,0,6,0.235784,0.247896,0,0.003738,0.003738,0.000465,0,0.270379,0.37215,0.933315,0.015625,"#ff8ab7"
division,division,3,3,0,6,0.235784,0.247896,0,0.003738,0.003738,0.000465,0,0.259099,0.37215,0.933132,0.015625,"#ff8ab7"
